City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,den burg,53.0542,4.7972,17.2,97,100,10.8,NL,1690102877
1,port-aux-francais,-49.35,70.2167,5.73,86,99,16.4,TF,1690102518
2,adamstown,-25.066,-130.1015,21.25,67,0,8.66,PN,1690102515
3,blackmans bay,-43.0167,147.3167,9.74,81,70,2.69,AU,1690102515
4,la ronge,55.1001,-105.2842,11.14,93,0,0.0,CA,1690102547
5,edinburgh of the seven seas,-37.0676,-12.3116,13.37,78,40,9.63,SH,1690102512
6,grytviken,-54.2811,-36.5092,-5.36,76,35,4.99,GS,1690102512
7,srivardhan,18.0333,73.0167,26.58,89,100,8.4,IN,1690102882
8,puerto ayora,-0.7393,-90.3518,24.42,79,55,4.79,EC,1690102519
9,santana,-0.0583,-51.1817,28.1,83,75,5.14,BR,1690102883
10,bethel,41.3712,-73.414,18.75,86,0,1.54,US,1690102513
11,malpica,43.3228,-8.8105,20.76,80,100,4.68,ES,1690102884
12,clarksdale,34.2001,-90.5709,19.99,100,0,0.0,US,1690102885
13,the bottom,17.6259,-63.2492,26.31,76,94,6.77,BQ,1690102886
14,viqueque,-8.8673,126.3658,24.86,73,72,2.99,TL,1690102886
15,colchani,-20.3,-66.9333,1.3,31,0,0.72,BO,1690102887
16,darnah,32.767,22.6367,32.99,42,0,7.69,LY,1690102887
17,yellowknife,62.456,-114.3525,14.29,77,100,2.06,CA,1690102311
18,iqaluit,63.7506,-68.5145,5.85,86,75,0.0,CA,1690102516
19,beboto,8.2668,16.939,28.44,63,99,1.6,TD,1690102889
20,olonkinbyen,70.9221,-8.7187,4.93,84,100,3.55,SJ,1690102537
21,cherdyn',60.403,56.4787,22.62,41,3,3.23,RU,1690102890
22,tolanaro,-25.0319,46.9987,25.04,65,20,9.26,MG,1690102514
23,chonchi,-42.6128,-73.8092,0.56,88,47,0.25,CL,1690102585
24,bredasdorp,-34.5322,20.0403,12.92,69,100,4.66,ZA,1690102517
25,west island,-12.1568,96.8225,26.99,74,100,4.63,CC,1690102514
26,albany,42.6001,-73.9662,15.85,89,5,0.89,US,1690102254
27,vila velha,-20.3297,-40.2925,19.97,99,75,2.06,BR,1690102844
28,antofagasta,-23.65,-70.4,16.6,83,48,1.35,CL,1690102564
29,wailua homesteads,22.0669,-159.378,26.44,86,100,6.69,US,1690102523
30,kayangel,8.0823,134.7173,25.53,86,100,3.25,PW,1690102896
31,weno,7.4515,151.8468,24.97,88,100,0.0,FM,1690102545
32,waitangi,-43.9535,-176.5597,11.57,95,20,4.02,NZ,1690102520
33,belyy yar,53.6039,91.3903,20.94,64,40,4.0,RU,1690102572
34,afaahiti,-17.75,-149.2833,21.93,67,92,5.08,PF,1690102530
35,invercargill,-46.4,168.35,8.95,94,100,3.4,NZ,1690102899
36,bilibino,68.0546,166.4372,24.98,44,71,3.55,RU,1690102520
37,tamanrasset,22.785,5.5228,33.95,11,0,1.54,DZ,1690102518
38,longyearbyen,78.2186,15.6401,9.91,71,40,2.06,SJ,1690102527
39,fort-shevchenko,44.5086,50.263,30.63,49,7,4.86,KZ,1690102901
40,uturoa,-16.7333,-151.4333,24.66,77,98,6.91,PF,1690102580
41,puerto natales,-51.7236,-72.4875,-4.02,92,14,1.52,CL,1690102515
42,klyuchi,52.2667,79.1667,29.67,24,61,5.25,RU,1690102524
43,selfoss,63.9331,-20.9971,13.36,76,100,1.19,IS,1690102560
44,labrador city,52.9463,-66.9114,15.95,94,100,1.54,CA,1690102557
45,remire-montjoly,4.9167,-52.2667,23.02,94,0,0.0,GF,1690102905
46,praia,14.9215,-23.5087,26.3,69,75,6.17,CV,1690102577
47,sarupathar,26.1984,93.8094,31.12,69,91,1.01,IN,1690102906
48,pula,44.8683,13.8481,28.31,57,20,3.6,HR,1690102906
49,harstad,68.799,16.5293,15.13,97,100,0.89,NO,1690102907
50,papatowai,-46.5619,169.4708,8.92,97,100,2.98,NZ,1690102514
51,colonia menno,-22.3667,-59.8167,21.97,37,0,4.38,PY,1690102909
52,ilhabela,-23.7781,-45.3581,17.34,70,0,2.52,BR,1690102852
53,ilulissat,69.2167,-51.1,8.01,87,75,2.06,GL,1690102535
54,morigaon,26.3796,92.3415,31.83,69,91,1.55,IN,1690102911
55,medina,24.4686,39.6142,40.24,7,0,3.6,SA,1690102911
56,qaqortoq,60.7167,-46.0333,12.32,72,100,2.1,GL,1690102531
57,carbonear,47.7332,-53.2148,19.3,96,99,2.7,CA,1690102514
58,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,68,0,4.0,RU,1690102517
59,kavaratti,10.5669,72.642,28.3,80,99,9.07,IN,1690102914
60,ushuaia,-54.8,-68.3,-0.19,74,0,7.2,AR,1690102513
61,cotoca,-17.8167,-63.05,21.92,58,0,6.38,BO,1690102916
62,puerto santa,-8.9906,-78.6456,19.97,82,48,2.44,PE,1690102916
63,tanjung pandan,-2.75,107.65,28.34,73,73,3.27,ID,1690102917
64,fisterra,42.9049,-9.2629,18.75,85,100,3.96,ES,1690102519
65,brookings,44.3114,-96.7984,17.43,100,1,0.7,US,1690102918
66,whitehorse,60.7161,-135.0538,14.43,90,100,1.54,CA,1690102525
67,verkhnevilyuysk,63.4453,120.3167,29.79,38,7,2.17,RU,1690102919
68,ndjole,-0.1783,10.7649,26.61,65,98,0.84,GA,1690102920
69,galdar,28.147,-15.6502,24.64,73,56,7.5,ES,1690102921
70,san patricio,28.017,-97.5169,28.81,86,0,3.0,US,1690102515
71,kerema,-7.9631,145.7785,24.82,82,100,4.99,PG,1690102922
72,punta arenas,-53.15,-70.9167,-0.92,81,12,4.81,CL,1690102517
73,jamestown,42.097,-79.2353,17.06,99,0,2.06,US,1690102527
74,alesund,62.4723,6.1549,17.73,73,40,4.12,NO,1690102588
75,nangong,37.3581,115.3744,36.31,33,0,1.39,CN,1690102924
76,burabay,53.0838,70.3138,19.09,67,100,2.59,KZ,1690102925
77,avarua,-21.2078,-159.775,23.03,94,100,8.75,CK,1690102519
78,ramhormoz,31.28,49.6035,46.13,6,22,4.78,IR,1690102926
79,eyl,7.9803,49.8164,32.78,43,94,14.06,SO,1690102927
80,taoudenni,22.6783,-3.9836,39.49,22,76,3.09,ML,1690102555
81,saipan,15.1355,145.701,28.14,100,100,1.54,MP,1690102516
82,nova sintra,14.8667,-24.7167,22.37,73,56,6.01,CV,1690102515
83,colonia,50.9333,6.95,19.68,72,100,4.12,DE,1690102543
84,hithadhoo,-0.6,73.0833,28.52,75,21,3.51,MV,1690102536
85,khorixas,-20.3667,14.9667,26.4,24,0,5.91,NA,1690102931
86,bokoro,12.3807,17.0568,28.44,61,100,5.26,TD,1690102932
87,dunedin,-45.8742,170.5036,9.33,94,100,0.45,NZ,1690102546
88,margaret river,-33.95,115.0667,15.15,69,0,5.31,AU,1690102514
89,stanley,54.868,-1.6985,14.6,94,75,6.17,GB,1690102524
